CODCOMPRA,ITEM,CODPROD,VALORCOMPRA,VALORVENDA,PRODESP,PRECOCUSTO,VALORTOTAL,DESCONTO,IMPOSTO,FRETE,DESPESA,CREDICMS,MES,LANCADO,DELETADO,CODLANCENT,ESTORNADO,LUCRO,OUTROS,ETIQUETA,PRECOAVISTA,PRECOANTERIOR,DESCAVISTA,IDREMESSA,GRADE,MARGEMLUCRO,IPI,ICMS_ENTRADA,ICMS_SAIDA,SIT_TRIBUTARIA,BASEICMS,BASEICMS_SUB,VALICMS_SUB,NCM,ICMS_GARANTIDO,VALORICMS,CFOP,REG50_OUTRAS,REG50_ISENTA,PIS_VBC,PIS_PPIS,COFINS_VBC,COFINS_PCOFINS,ICMS_PRED_BC,ICMSSN,MODBCST,PMVAST,PREDBCST,PCREDSN,VBCSTRET,VICMSSTRET,MODBC_ICMS,PICMSST,ICMSSUB_PREDBCST,PIS_BASE,COFINS_BASE,PIS_CST,COFINS_CST,IND_MOVFISICA,CUSTOMEDIO,QUANT_SEG,QUANTIDADE,CUSTO_ICMSSUB,BONIFICACAO,MARGEM_LUCRO,CUSTOS_VARIAVEIS,PERCCUSTOS_VARIAVEL,VBCUFDEST,PFCPUFDEST,PICMSUFDEST,PICMSINTER,PICMSINTERPART,VFCPUFDEST,VICMSUFDEST,VICMSUFREMET,FUNRURAL,PRECO_ALTERADO,ORIGEM_MERCADORIA,QUANTCOMP,LOTE,FCPOBREZA,DESOSSA,ICMS_OP,V_ICMS_DIF,C_BENIFIC,PDIF,UNID_FOR,QUANT_CAIXA,USARUNID_FOR
3,1,000002,8400,8400,,8400,8400,0,0,0,0,0,05/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,000003,600,600,,600,600,0,0,0,0,0,05/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,000004,2000,2000,,2000,2000,0,0,0,0,0,05/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,000002,8400,8400,,8400,8400,0,0,0,0,0,05/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,000003,600,600,,600,600,0,0,0,0,0,05/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,000006,1276.5,1276.5,,1276.5,1276.5,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,000007,4725,4725,,4725,4725,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,000004,1276.5,1276.5,,1276.5,1276.5,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,22021000,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,000004,2518.22,2518.22,,2518.22,2518.22,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,000006,1441.21,1441.21,,1441.21,1441.21,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
