CODVENDA,CODITEM,CODPROD,QUANTIDADE,VALORUNIT,DESCRICAOMO,DEST,VALORCUSTO,CODTIPPROD,CODFUNC,COMISSAOPORCEN,PRECOCERTO,PESOPRODUTO,DATA,MES,VALORDESCONTO,DARBAIXA,ESTORNADO,BAIXADO,DELETADO,CODBAIXA,IDREMESSA,PRODMO,PRODMONTADO,IMPRESSO,GRADE,MOTIVODEL,IMPRECEITA,PRECOAPRAZO,OK_COZINHA,VALORTOTAL,VALTOTAL_PRECOCERTO,IAT,IPPT,DESC_PRODUTO,CODALIQUOTA,IT_DESCONTO,IT_ACRESCIMO,UNIDADE,INFOADICIONAL,BAIXARRECEITA,CFOP,TAB_TOTALIZADOR,COO,CCF,DESCTOTAL_SPED,COR,PPIS,PCOFINS,VPIS,VCOFINS,ACRESTOTAL_SPED,AUT_DELBD,QUANT_RESERVADA,REG_MD5,VAL_INCLUSAO,PRECOTABELA,CUSTOMEDIO,TOTAL_IMPOSTOS,NCM_PROD,ORIGEM_MERC_PROD,P_COMPRAPROD,PRODRESERVADO,IDSETOR,CUSTO_VARIAVEL,PERCCUSTO_VARIAVEL,ROMANEIO_ID,CODPROMOCAO,RESERV_ARETIRAR,BLOQ_COMISSAO,COMISSAO_PROD,VAZILHAME_OP,VAZILHAME_QUANTEMP,ICMS_ST,LOTE,AMBIENTE_ORC,ID_RESTRICAO,DEF_ENTREGA,PQUANT_DECIMAIS,BLOQ_DESCITEM,KIT_CODPROD
2,1,900000,1,1,,.,1,01,0,0,1,0,2022-02-24,02/2022,0,1,1,1,0,73711,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,,1,0,0,0,0,,,0,0,0,,,0,,,,,,,
9,1,000002,1,8400,,,1,01,0,0,8400,,2023-05-16,05/2023,0,1,0,1,0,15359,,0,0,,,,,8400,,8400,8400,T,T,BERÇARIO I - MATUTINO,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,8400,1,,22021000,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
10,1,000003,1,600,,,1,01,0,0,600,,2023-05-16,05/2023,0,1,0,1,0,75257,,0,0,,,,,600,,600,600,T,T,REMATRICULA - 2023,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,600,1,,22021000,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
11,1,000004,1,2000,,,1,01,0,0,2000,,2023-05-16,05/2023,0,1,0,1,0,19767,,0,0,,,,,2000,,2000,2000,T,T,MATERIAL - 2023,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,2000,1,,22021000,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
12,1,000002,1,8400,,,1,01,0,0,8400,,2023-05-16,05/2023,0,1,0,1,0,173307,,0,0,,,,,8400,,8400,8400,T,T,BERÇARIO I - MENSALIDADE - MATUTINO - 2023,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,8400,1,,22021000,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
12,2,000003,1,600,,,1,01,0,0,600,,2023-05-16,05/2023,0,1,0,1,0,173307,,0,0,,,,,600,,600,600,T,T,REMATRICULA - 2023,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,600,1,,22021000,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
13,1,000006,1,1276.5,,,0.01,MO,0,0,1276.5,,2023-07-11,07/2023,0,1,1,1,0,25548,,0,0,,,,,1276.5,,1276.5,1276.5,T,T,RECEBIMENTO BOLETOS ALUNOS,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
14,1,000006,1,1,,,0.01,MO,0,0,1,,2023-07-11,07/2023,0,1,1,1,0,230974,,0,0,,,,,1,,1,1,T,T,RECEBIMENTO BOLETOS ALUNOS,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
15,1,000004,1,1276.5,,,0.01,MO,0,0,1276.5,,2023-07-14,07/2023,0,1,1,1,0,295631,,0,0,,,,,1276.5,,1276.5,1276.5,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
17,1,000004,1,1276.5,,,0.01,MO,0,0,1276.5,,2023-07-14,07/2023,0,1,1,1,0,251454,,0,0,,,,,1276.5,,1276.5,1276.5,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
