CODCONTA,CODMOV,CODTIPMOV,DATA,VALOR,OBS,DOCUMENTO,CODFORNEC,DATAEMISSAO,MES,IDREMESSA,VINCULADO,SALDOANT,SALDOATUAL,CODCAIXA_LANC,IDCODDESP_LANC,DEPOSITO_VINC,DESBLOQ_DEP,SELECIONADO,ORIGEM_LANC,ORIGEM_IDLANC,CONC_CONCILIADO,CONC_DATA,CONC_NUMERO,CONC_VALOR,CONC_OPERACAO,CONC_TIPOCONC
2,1,4,2023-05-12,6.04,*Modulo Boleto.-,,0,,05/2023,0,0,,,,,,,,,,,,,,,
1,2,4,2023-05-15,7.32,*Modulo Boleto.-,,0,,05/2023,0,0,,,,,,,,,,,,,,,
2,321,99,2023-07-19,90,Explosivos e Muniçoes COMPRA FOGOS ARTIF,,0,,07/2023,0,0,,,,222,,,,,,1,2023-07-19,PIX_DEB   05891,90,-,3
1,15,2,2023-06-23,100.39,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-23,20230623010039,100.39,+,2
1,11,8,2023-06-22,0.5,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,06/2023,0,0,0,0,0,13,0,,0,,,1,2023-06-22,202306221050,0.5,-,2
2,303,99,2023-07-11,2000,Uniformes UNIFORME TIMES,,0,,07/2023,0,0,,,,158,,,,,,1,2023-07-11,PIX_DEB   39084,2000,-,3
2,287,99,2023-07-17,465,Despesas c/ diretoria TROCO FESTA JUNINA,,0,,07/2023,0,0,,,,206,,,,,,1,2023-07-17,PIX_DEB   09541,465,-,3
1,19,99,2023-06-26,100,MANUTENÇAO E REPAROS COLOCAR REDE QUADRA,,0,,06/2023,0,0,,,,20,,,,,,1,2023-06-26,20230626110000,100,-,3
1,12,98,2023-06-22,10,TARIFA PIX ENVIADO - TAR. AGRUPADAS - OC,00076997,,,06/2023,0,0,0,0,0,14,0,,0,,,1,2023-06-22,2023062211000,10,-,2
1,17,99,2023-06-26,238.29,SEG CRÉD PROTEG EMPRESA,34243,,,06/2023,0,0,0,0,0,18,0,,0,,,1,2023-06-26,20230626123829,238.29,-,2
1,13,99,2023-06-22,401.5,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,15,0,,0,,,1,2023-06-22,20230622140150,401.5,-,2
2,288,99,2023-07-17,502,Despesas c/ diretoria TROCO FESTA JUNINA,,0,,07/2023,0,0,,,,207,,,,,,1,2023-07-17,PIX_DEB   09541,502,-,4
1,14,99,2023-06-23,100.39,FRETES S/ MATERIAIS DIDATICOS BRASPRESS ,,0,,06/2023,0,0,,,,16,,,,,,1,2023-06-23,20230623110039,100.39,-,3
1,18,3,2023-06-26,500,TRANSFERÊNCIA ENVIADA - UNOPAR PAGAR BOL,00045893,,,06/2023,0,0,0,0,0,19,0,,0,,,1,2023-06-26,20230626150000,500,-,2
1,10,99,2023-06-23,864.5,PRODUTOS LIMPEZA ,,0,,06/2023,0,0,,,,9,,,,,,1,2023-06-22,20230622186450,864.5,-,4
1,22,8,2023-06-26,1,TARIFA BOLETOS COBRANÇA,79017019,,,06/2023,0,0,0,0,0,23,0,,0,,,1,2023-06-26,202306261100,1,-,2
1,27,8,2023-06-27,3,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,06/2023,0,0,0,0,0,30,0,,0,,,1,2023-06-27,202306271300,3,-,2
1,23,2,2023-06-26,6,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-26,202306260600,6,+,2
1,25,99,2023-06-27,1500,SISTEMA SOFTWARES JB-SOFTWARE,,0,,06/2023,0,0,,,,22,,,,,,1,2023-06-27,202306271150000,1500,-,3
1,26,99,2023-06-27,165,OUTROS MATERIAIS DIDATICOS UNIFORMES ,,0,,06/2023,0,0,,,,24,,,,,,1,2023-06-27,20230627116500,165,-,3
2,41,99,2023-06-29,50,CONSERTOS E MANUTENÇOES CONSERTO PULA PU,,0,,06/2023,0,0,,,,39,,,,,,1,2023-06-30,PIX_DEB   08645,50,-,4
1,28,99,2023-06-27,1591.92,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,31,0,,0,,,1,2023-06-27,202306271159192,1591.92,-,2
1,260,4,2023-06-22,1276.5,Venda Depósito Bancário,,0,,06/2023,0,0,,,,,,,,VD,35,1,2023-06-22,202306220127650,1276.5,+,3
1,29,3,2023-06-28,300,TRANSFERÊNCIA ENVIADA -UNOPAR PAGAR BOLE,00045893,,,06/2023,0,0,0,0,0,32,0,,0,,,1,2023-06-28,20230628130000,300,-,2
1,30,3,2023-06-28,100,TRANSFERÊNCIA ENVIADA - 28/06 12:38 ELAI,00048452,,,06/2023,0,0,0,0,0,33,0,,0,,,1,2023-06-28,20230628110000,100,-,2
1,31,2,2023-06-28,400,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-28,20230628040000,400,+,2
1,33,3,2023-06-29,150,TRANSFERÊNCIA ENVIADA -ELAINE CC POLOS,00048452,,,06/2023,0,0,0,0,0,34,0,,0,,,1,2023-06-29,20230629115000,150,-,2
2,42,9,2023-06-22,50,COMPRAS NACIONAIS,,,,06/2023,0,0,0,0,0,40,0,,0,,,1,2023-06-22,VE0346054 LISTO,50,-,2
1,34,3,2023-06-29,100,TRANSFERÊNCIA ENVIADA - 29/06 11:37 INST,00045893,,,06/2023,0,0,0,0,0,35,0,,0,,,1,2023-06-29,20230629110000,100,-,2
2,43,3,2023-06-22,2000,PAGAMENTO PIX PARA FACEMS,,,,06/2023,0,0,0,0,0,41,0,,0,,,1,2023-06-22,PIX_DEB   08645,2000,-,2
1,35,3,2023-06-29,1185,TRANSFERÊNCIA ENVIADA - 29/06 FACEMS,00049586,,,06/2023,0,0,0,0,0,36,0,,0,,,1,2023-06-29,202306291118500,1185,-,2
