CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,4,2023-05-05,Bolet. - 3 ODAIR ROBERTO DOS SANTOS DE O,32,50,0,6,0,0,,10:45,,,,,,,,,,,,
1,5,2023-05-05,Rec. Bolet-Banc Automat.,3,0,50,6,0,0,,10:45,,,,,,,,,,,,
1,6,2023-05-12,Bolet. - 3 ODAIR ROBERTO DOS SANTOS DE O,32,6.04,0,6,0,0,,08:11,,,,,,,,,,,,
1,7,2023-05-12,Rec. Bolet-Banc Automat.,3,0,6.04,6,0,0,,08:11,,,,,,,,,,,,
1,8,2023-05-15,Bolet. - 3 ODAIR ROBERTO DOS SANTOS DE O,32,7.32,0,6,0,0,,14:08,,,,,,,,,,,,
1,9,2023-05-15,Rec. Bolet-Banc Automat.,3,0,7.32,6,0,0,,14:08,,,,,,,,,,,,
1,10,2023-05-18,000003-ODAIR ROBERTO DOS SANTOS DE OLIVE,32,250,0,6,0,0,,10:34,,,,,,1,,,,,,
1,11,2023-07-11,000001 - Consumidor,30,1276.5,0,6,13,0,,17:05,,,,,,0,,,,,,
1,12,2023-07-11,000001 - Consumidor,30,1,0,6,14,0,,17:39,,,,,,0,,,,,,
1,13,2023-07-11,Venda Deposito Bancario,3,0,1,6,14,0,,17:39,,,,,,0,,,,,,
1,14,2023-07-14,000001 - Consumidor,30,1276.5,0,6,15,0,,18:13,,,,,,0,,,,,,
1,15,2023-07-14,000001 - Consumidor,40,0,1276.5,6,15,0,,18:18,,,,,,0,,,,,,
1,16,2023-07-14,000001-Consumidor,32,1276.5,0,6,0,0,,18:20,,,,,,2,,,,,,
1,17,2023-07-14,Rec.Deposito-000001-Consumidor,3,0,1276.5,6,0,0,,18:20,,,,,,0,,,,,,
1,18,2023-06-22,000001-Consumidor,32,1276.5,0,6,0,0,,18:25,,,,,,3,,,,,,
1,19,2023-06-22,000001 - Consumidor,40,0,1276.5,6,13,0,,18:30,,,,,,0,,,,,,
