CODPROD,CODGRUPO,CODALIQUOTA,CODFORNEC,PRODUTO,CODTIPPROD,PRECOCOMPRA,MARCA,PRECOCUSTO,PRECOUNIT,MINIMO,QUANTIDADE,UNIDADE,CODFABRICANTE,APLICACAO,SECAO,ULTIMAVENDA,NOTAFISCAL,DATACOMPRA,IPI,ICMS,FRETE,OUTROS,LUCRO,ETIQUETA,TOTALCAIXA,QUANTPEDIDO,PESO,ATIVO,PRECOANTERIOR,DATALTERACAO,QUANTULTCOMPRA,DATAMINIMO,PRINCIPIOATIVO,OBS,BALANCO,EMBENTRADA,EMBVENDA,DARBAIXA,CODEMP,OPERACAO,CODCLIFOR,CODVENCOMP,VALOROPERACAO,CODUSUARIO,IDREMESSA,OBS_BAIXA,CUSTOFIXO,BUSC_PROD,BLOQDESC,CUSTOMEDIO,CAPTACAO,PRODMONTADO,QUANTVENDIDO,IDGRADE,DATAPEDIR,QUANTPEDIR,DURACAO,CONTBALANCO,MARGEMLUCRO,DESCMAXIMO,GRADEVEND,PRECOTABELA,MONTARRECPROD,ENVIARBALAN,TIPOPESO,VALIDADE,SETOR,INDICEBALAN,TECLABALAN,CODPRODBALAN,MAXIMO,SNGPC,REGISTROANVISA,ATUPRECO,NCM,IAT,IPPT,QUANTSAIDA,QUANTENTRADA,INFOADICIONAL,DATALT_SERV,GER_SINTEGRA,ORIGEM_MERCADORIA,SIT_TRIBUTARIA,EST_CRIPT,MOD_ESTCRIPT,DATAESTOQ,REG_PAF,MEDCONT_RECEITA,SITTRIBUTARIA,PERCENT_ALIQ,REG_DATEST,NFE_PIS,NFE_COFINS,NFE_PERC_REDUC,MODBC,MODBCCST,ICMSSN,SN_PCREDSN,SN_VBCSTRET,SN_VICMSSTRET,GTIN,ID_CLASSIFICACAO,POSSUIFOTO,PERC_ICMSSUB,PERC_CREDICMS,PERC_ICMSGARANTIDO,CST_PIS,CST_COFINS,SELECIONADO,CONTADOR_PROD,ESTOQ_PAF,REG_MD5,ESTPAF_CRYPT,VAL_INCLUSAO,EST_RESERVA,CRIPY_ESTRESERVA,SALVA_MD5,PROD_DERIVADO,NAT_RECEITA,DESC_REDUZ,CFOP_PROD,RESERVA_CLI,PAUTA_DENTROEST,PAUTA_FORAEST,ALIQ_IMP_GERAL,TAB_PRECOESP,SNGPC_DCB,SNGPC_DISCRI_DCB,NCM_VALIDO,VERIFIC_ARETIRAR,OPERACAO_RESERV,IDDAV_RESERV,CEST,CP_DIVERSOS,MVA_DENTRO,MVA_FORA,MARGEM_LUCRO,CUSTOS_VARIAVEIS,CREDITO_IMP,PERC_VARIAVEL,CONF_DIVERSAS,UNID_TRIBUT,FATOR_UNIDTRIB,IDAGRUPAMENTO,USACOD_INTERNO,UNID_ANT,COMISSAO_PROD,CODSUBGRUPO,IDGRUPO_SUG,VAZILHAME_COD,VAZILHAME_QUANT,SPED_TIPOPROD,MLUCRO_FIXA,C_BENIFIC,VOLUME_PROD,STATUS_ECOMERCE,QUANT_LANC,DATA_PROCESS,DATA_ALTPRECO,NOVOQUANT_CX,ORIGEM_NUVEM,KIT_PROD,KIT_DESCONTO,CLASFISCAL_AUT,KIT_FORMAPRECO,IMENDES_BLOQ,IMENDES_RET
CFOP5.949,3,01,88,"Lançamento NF-e Compleme
ntar",01,0,,0,1,0,0,UN,,,,,,2013-08-01,0,0,0,0,0,,,0,,1,0,2013-08-01,,,,,0,,,1,,0,,,,,0,,,"LANCAMENTO NF-E COMPLEME
NTAR",0,0,,0,,,,,,,0,0,,,,,,,,,,,,,,,00,T,T,0,0,0,2019-12-19,,0,00,123,,2013-08-01,,,T,17,,0,0,0,3,-1,102,0,0,0,SEM GTIN,,,0,0,0,49,49,,45386,0,b32a177fa4a728e92d9762539e850f6d,123,337044911cafd2c772caac363add7ca5,0,123,1,0,,,5102,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999998,1,NN,1,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,01,1,,1,1,0,0,UN,,,,2023-07-15,,2019-03-22,0,0,0,0,0,,,0,,1,0,2022-02-24,,,,,0,,,1,1,503,1,28,1,6,,Venda Estornada,,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,0,1,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,17019900,T,T,6,6,0,2023-07-15,,0,41,123,0,2019-03-22,,,,0,,0,0,0,-1,-1,400,0,0,0,7891910000197,,,0,0,0,49,49,,46173,0,b434abad09be7744ef6efa6f28c06426,123,f7898aca8f3ab8d5aede5b6d1dba61aa,0,123,0,0,,,5102,,,,4.2,,,,1,,0,0,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,1,2023-07-15,,,,,,,,,
000002,5,NN,1,REPASSE CN EDUCBANK,MO,0.01,,0.01,0.01,0,-66,UN,,,,2025-10-06,,2023-05-16,0,0,0,0,0,,0,0,,1,0.01,2024-10-07,,,,,0,,,1,1,500,7,2078,212158.75,8,,DAV0000002109,,REPASSE CN EDUCBANK,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,68,2,0,2025-10-17,,0,41,-207,0,2023-05-16,,0,,0,,0,0,0,-1,-1,400,0,0,0,,,,0,0,0,49,49,,3929,0,,123,79f69230354b71206fb723c571cce58b,0,123,1,0,,,5933,,,,14.83,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2025-10-06,2023-07-14,0,,,,,,,
000007,1,NN,41,FESTA JUNINA,MO,0.01,,0.01,0.01,0,-12,UN,,,,2025-07-24,,2023-07-17,0,0,0,0,0,,0,0,,1,0,2023-07-17,,,,,0,,,1,1,500,1,1970,20,8,,DAV0000002000,,FESTA JUNINA,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,12,0,0,2025-07-31,,0,41,63,0,2023-07-17,,0,,0,,0,0,0,-1,-1,400,0,0,0,,,,0,0,0,49,49,,95184,0,,123,35dce29cf91a19ead1de07e2c3616bd1,0,123,1,0,,,5933,,,,0,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2025-07-24,,0,,,,,,,
000006,5,NN,1,ENSINO MÉDIO MENSALIDADE,MO,0.01,,0.01,0.01,0,-62,UN,,,,2024-07-31,,2023-07-14,0,0,0,0,0,,0,0,,1,0.01,2023-07-15,,,,,0,,,1,1,500,1,909,500,8,,DAV0000000924,,ENSINO MEDIO MENSALIDADE,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,67,5,0,2024-08-15,,0,41,-187,0,2023-07-14,,0,,0,,0,0,0,-1,-1,400,0,0,0,,,,0,0,0,49,49,,65998,0,,123,c1e7f5d04fa87fb7f6aeb52f7b0f1484,0,123,1,0,,,5933,,,,0,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2024-07-31,,0,,,,,,,
000003,5,NN,1,REPASSE CEI EDUCBANK,MO,0.01,,0.01,0.01,0,-148,UN,,,,2025-10-06,,2023-05-16,0,0,0,0,0,0,0,0,0,1,0.01,2024-10-07,0,2023-05-16,,,0,,,1,1,500,7,2077,56415.14,8,0,DAV0000002108,0,REPASSE CEI EDUCBANK,0,0.01,,0,1,0,2023-05-16,0,0,0,0,0,-,0,0,0,,0,,,,,0,0,,1,,T,T,150,2,0,2025-10-17,0,0,41,-617,0,2023-05-16,,0,,0,,0,0,0,-1,-1,400,0,0,0,,0,0,0,0,0,49,49,0,61318,0,,123,f03b4d87a8ceb93bf5b4c76c16962af8,0,123,1,0,,,5933,0,,,14.83,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,1,,0,0,0,,,,,,0,,-1,2025-10-06,2023-07-14,0,,,,,,,
000004,5,NN,1,REMATRICULA CN,MO,0.01,,0.01,0.01,0,-336,UN,,,,2025-12-01,,2023-05-16,0,0,0,0,0,0,0,0,0,1,0.01,2024-10-30,0,2023-05-16,,,0,,,1,1,500,1,2089,8500,8,0,DAV0000002120,0,REMATRICULA CN,0,0.01,,0,1,0,2023-05-16,0,0,0,0,0,-,0,0,0,,0,,,,,0,0,,1,,T,T,349,14,0,2025-12-03,0,0,41,-1557,0,2023-05-16,,0,,0,,0,0,0,-1,-1,400,0,0,0,,0,0,0,0,0,49,49,0,57074,0,,123,1134bd0b6f17a34f6107e797c990b4b1,0,123,1,0,,,5933,0,,,14.83,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,1,,0,0,0,,,,,,0,,-1,2025-12-01,2023-07-14,0,,,,,,,
000022,1,NN,1,AGENDA,MUC,0.01,,0.01,0.01,0,-87,UN,,,,2025-06-02,,2025-02-04,0,0,0,0,0,,0,0,,1,0,2025-02-04,,,,,0,,,1,1,500,1,1785,60,8,,DAV0000001813,,AGENDA,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,87,0,0,2025-06-03,,0,41,-312,0,2025-02-04,,0,,0,,0,0,0,-1,-1,400,0,0,0,,,,0,0,0,49,49,,16237,0,,123,2b348ef45c33b63733388ee1f906b8a2,0,123,1,0,,,5933,,,,0,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2025-06-02,,0,,,,,,,
000008,6,NN,1,ALGUÉL CANTINA,MO,0.01,,0.01,0.01,0,-21,UN,,,,2025-09-22,,2023-07-19,0,0,0,0,0,,0,0,,1,0,2023-07-18,,,,,0,,,1,1,500,1,2057,1215.5,8,,DAV0000002088,,ALGUEL CANTINA,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,21,0,0,2025-09-25,,0,41,18,0,2023-07-19,,0,,0,,0,0,0,3,-1,400,0,0,0,,,,0,0,0,49,49,,18090,0,,123,367c78ec0bb6fe9b859d3475bafaf891,0,123,1,0,,,5933,,,,0,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2025-09-22,,0,,,,,,,
000009,1,NN,1,PROMOÇAO DIA DOS PAIS,03,0.01,,0.01,0.01,0,-208,UN,,,,2025-08-11,,2023-08-07,0,0,0,0,0,,0,0,,1,0,2023-08-07,,,,,0,,,1,1,500,1,1999,1547,8,,DAV0000002029,,PROMOCAO DIA DOS PAIS,0,0.01,,0,1,,,,,,0,0,-,,,,,,,,,,,,,1,,T,T,210,2,0,2025-08-18,,0,41,-917,0,2023-08-07,,0,,0,,0,0,0,-1,-1,400,0,0,0,,,,0,0,0,49,49,,35884,0,,123,6a1f56ff54a7c3189d9904cb4918460d,0,123,1,0,,,5933,,,,0,,,,,,0,0,,,,,0,0,0,0,0,,,,1,,,,,,,,,,0,,-1,2025-08-11,,0,,,,,,,
